freq (HZ)         Umax (V)       period (uS)        del (uS)

50              0              20000              15000
100             0,08           10000              7500
200             0,09           5000               4000
500             0,14           2000               1500
10^3            0,25           1000               780
5*10^3          0,3            200                175
10^4            1,2            100                94
3*10^4          1,2            33,3               1,9
5*10^4          0,95           20                 2,2
8*10^4          0,75           12,5               1,9
10^5            0,6            10                 1,6
5*10^5          0,15           2                  0,45
