freq (HZ)         Umax (V)       period (uS)        del (uS)

50              0            20000            15000 
100             0            10000            7500
200             0,1          5000             4000
500             0,15         2000             1500
10^3            0,25         1000             750
10^4            2            100              80
5*10^4          3,6          20               18,5
10^5            3,9          10               9,5
2*10^5          3,95         5                4,55
3*10^5          3,9          3,3              3,3
4*10^5          3,9          2,5              0
9,9*10^5        3,9          1                0
