freq (HZ)         Umax (V)       period (uS)        del (uS)

50                4              20000              0
100               4              10000              0
200               4              5000               0
300               4              2000               0
10^3              4              1000               0
10^4              3,4            100                7,5
5*10^4            1,36           20                 3,8
10^5              0,8            10                 2,5
2*10^5            0,35           5                  1,1
3*10^5            0,25           3,3                0,8
4*10^5            0,19           2,4                0,6
5*10^5            0,15           1,9                0,5
6*10^5            0,11           1,5                0,42
6,5*10^5          0,1            1,4                0,38
7*10^5            0,1            1,2                0,35
8*10^5            0,09           1,1                0,32
9*10^5            0,08           1                  0,3

